,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
136,DIS,DLX,DI,DGN,DG,DCNAQ,DD,DELL,DE,DE,DDS,DELL,DELL,DIS,DO,DO,DISCA,DHR,DNB,DNR,DISCA,DIS,DGX,DHR,DIS,DLR,DISCA,DISH
137,DJ,DOV,DIGI,DHR,DHR,DD,DDS,DG,DELL,DELL,DE,DF,DF,DNB,DOV,DOV,DLTR,DIS,DNR,DO,DISCK,DISCA,DHI,DIS,DISCA,DLTR,DISCK,DLR
138,DLX,DOW,DIS,DIS,DIS,DDS,DE,DGX,DG,DG,DELL,DG,DFS,DOV,DOW,DOW,DNB,DISCA,DO,DOV,DLTR,DISCK,DHR,DISCA,DISCK,DOV,DISH,DLTR
139,DOV,DRI,DJ,DJ,DJ,DE,DELL,DHR,DGX,DGX,DG,DGX,DGX,DOW,DRI,DRI,DNR,DLTR,DOV,DOW,DNB,DLR,DIS,DISCK,DISH,DOW,DLR,DOV
140,DOW,DTE,DLX,DLX,DLX,DELL,DG,DIS,DHR,DHR,DGX,DHI,DHI,DRI,DTE,DTE,DO,DNB,DOW,DRI,DO,DLTR,DISCA,DISH,DLR,DPZ,DLTR,DOW
141,DRI,DUK,DOV,DOV,DOV,DG,DHR,DJ,DIS,DIS,DHI,DHR,DHR,DTE,DTV,DTV,DOV,DNR,DRI,DTE,DOV,DNB,DISCK,DLR,DLTR,DRE,DOV,DPZ
142,DTE,DWD,DOW,DOW,DOW,DHR,DIS,DLX,DJ,DJ,DHR,DIS,DIS,DTV,DUK,DUK,DOW,DO,DTE,DTV,DOW,DOV,DISH,DLTR,DOV,DRI,DOW,DRI
143,DUK,DXC,DRI,DRI,DPHIQ,DIS,DJ,DOV,DLX,DOV,DIS,DJ,DOV,DUK,DVA,DVA,DRI,DOV,DTV,DUK,DRI,DOW,DLR,DOV,DOW,DTE,DPZ,DTE
144,DWD,EC,DTE,DTE,DRI,DJ,DLX,DOW,DOV,DOW,DJ,DOV,DOW,DVA,DVN,DVN,DTE,DOW,DUK,DVA,DTE,DRI,DLTR,DRE,DRE,DUK,DRE,DUK
145,DXC,ECH,DUK,DUK,DTE,DLX,DOV,DPHIQ,DOW,DPHIQ,DOV,DOW,DRI,DVN,DXC,DXC,DTV,DRI,DVA,DVN,DUK,DTE,DOV,DRI,DRI,DVA,DRI,DVA
146,EC,ECL,DXC,DXC,DUK,DOV,DOW,DRI,DPHIQ,DRI,DOW,DRI,DTE,DXC,EA,EA,DUK,DTE,DVN,DXC,DVA,DUK,DRE,DTE,DTE,DVN,DTE,DVN
147,ECH,ECO,EC,EC,DXC,DOW,DPHIQ,DTE,DRI,DTE,DRI,DTE,DTV,DYN,EBAY,EBAY,DVA,DTV,DXC,EA,DVN,DVA,DRI,DUK,DUK,DXC,DUK,DXC
148,ECL,ED,ECH,ECL,EC,DPHIQ,DRI,DUK,DTE,DUK,DTE,DTV,DUK,EA,ECL,ECL,DVN,DUK,EA,EBAY,EA,DVN,DTE,DVA,DVA,DXCM,DVA,DXCM
149,ECO,EFU,ECL,ED,ECL,DRI,DTE,DVN,DUK,DVN,DUK,DUK,DVN,EBAY,ED,ED,DXC,DVA,EBAY,ECL,EBAY,EA,DUK,DVN,DVN,EA,DVN,EA
150,ED,EIX,ECO,EDS,ED,DTE,DUK,DXC,DVN,DXC,DVN,DVN,DXC,ECL,EFX,EFX,EA,DVN,ECL,ED,ECL,EBAY,DVA,DWDP,DXC,EBAY,DXC,EBAY
151,EFU,EKDKQ,ED,EFU,EDS,DUK,DVN,DYN,DXC,DYN,DXC,DXC,DYN,ED,EIX,EIX,EBAY,DXC,ED,EFX,ED,ECL,DVN,DXC,EA,ECL,DXCM,ECL
152,EIX,EMC,EFU,EFX,EFU,DVN,DXC,EA,DYN,EA,DYN,DYN,EA,EFX,EKDKQ,EL,ECL,EA,EFX,EIX,EFX,ED,DWDP,EA,EBAY,ED,EA,ED
153,EKDKQ,EMN,EFX,EHC,EFX,DXC,DYN,EBAY,EA,EBAY,EA,EA,EBAY,EIX,EL,EMC,ED,EBAY,EIX,EL,EIX,EFX,DXC,EBAY,ECL,EFX,EBAY,EFX
154,EMN,EMR,EHC,EIX,EHC,DYN,EC,EC,EBAY,EC,EBAY,EBAY,ECL,EKDKQ,EMC,EMN,EFX,ECL,EL,EMC,EL,EIX,EA,ECL,ED,EIX,ECL,EIX
155,EMR,ENRNQ,EIX,EKDKQ,EIX,EC,ECL,ECL,EC,ECL,EC,ECL,ED,EL,EMN,EMR,EIX,ED,EMC,EMN,EMC,EL,EBAY,ED,EFX,EL,ED,EL
156,ENRNQ,ENS,EKDKQ,EMC,EKDKQ,ECL,ED,ED,ECL,ED,ECL,ED,EDS,EMC,EMR,EOG,EL,EFX,EMN,EMR,EMN,EMN,ECL,EFX,EIX,EMN,EFX,ELV
157,ENS,ETN,EMC,EMN,EMC,ED,EDS,EDS,ED,EDS,ED,EDS,EFX,EMN,EOG,EP,EMC,EIX,EMR,EOG,EMR,EMR,ED,EIX,EL,EMR,EIX,EMN
158,ETN,ETR,EMN,EMR,EMN,EDS,EFX,EFX,EDS,EFX,EDS,EFX,EIX,EMR,EP,EQR,EMN,EL,EOG,EQR,ENDP,ENDP,EFX,EL,EMN,ENPH,EL,EMR
159,ETR,ETS,EMR,ENRNQ,EMR,EFX,EHC,EHC,EFX,EIX,EFX,EIX,EKDKQ,EOG,EQR,EQT,EMR,EMC,EQR,EQT,EOG,EOG,EIX,EMN,EMR,EOG,EMN,ENPH
160,ETS,EXC,ENRNQ,ETN,ENRNQ,EHC,EIX,EIX,EIX,EKDKQ,EIX,EKDKQ,EL,EP,EQT,ES,EOG,EMN,EQT,ES,EQIX,EQIX,EL,EMR,EOG,EQIX,EMR,EOG
161,EXC,F,ETN,ETR,EP,EIX,EKDKQ,EKDKQ,EKDKQ,EMC,EKDKQ,EL,EMC,EQ,ES,ESRX,EP,EMR,ES,ESRX,EQR,EQR,EMN,EOG,EQIX,EQR,ENPH,EPAM
162,F,FBF,ETR,ETS,ETN,EKDKQ,EMC,EMC,EMC,EMN,EMC,EMC,EMN,EQR,ESRX,ETFC,EQR,EOG,ESRX,ESS,EQT,EQT,EMR,EQIX,EQR,ES,EOG,EQIX
163,FBF,FCN,ETS,EXC,ETR,EMC,EMN,EMN,EMN,EMR,EMN,EMN,EMR,EQT,ETFC,ETN,EQT,EQR,ESV,ESV,ES,ES,EOG,EQR,ES,ESS,EPAM,EQR
164,FBO,FCX,EXC,F,ETS,EMN,EMR,EMR,EMR,EOG,EMR,EMR,EOG,ESRX,ETN,ETR,ES,EQT,ETFC,ETFC,ESRX,ESRX,EQIX,ES,ESS,ETN,EQIX,EQT
165,FCN,FDC,F,FBF,EXC,EMR,EOG,EOG,EOG,EOP,EOG,EOG,EP,ESV,ETR,EXC,ESRX,ES,ETN,ETN,ESS,ESS,EQR,ESS,ETFC,ETR,EQR,ES
166,FCX,FDX,FBF,FCX,F,ENRNQ,EOP,EOP,EOP,EP,EOP,EOP,EQ,ETFC,EXC,EXPD,ETFC,ESRX,ETR,ETR,ESV,ETFC,EQT,ETFC,ETN,ETSY,ES,ESS
167,FDC,FE,FCN,FDC,FBF,EOG,EP,EP,EP,EQR,EP,EP,EQR,ETN,EXPD,EXPE,ETN,ESV,EW,EW,ETFC,ETN,ES,ETN,ETR,EVRG,ESS,ETN
168,FDX,FG,FCX,FDX,FCX,EP,EQR,EQR,EQR,ESRX,EQR,EQ,ESRX,ETR,EXPE,F,ETR,ETFC,EXC,EXC,ETN,ETR,ESRX,ETR,EVRG,EW,ETN,ETR
169,FE,FITB,FDC,FE,FDC,ETN,ETN,ETN,ESRX,ETFC,ESRX,EQR,ESV,EXC,F,FAST,EW,ETN,EXPD,EXPD,ETR,EVHC,ESS,EVRG,EW,EXC,ETR,ETSY
170,FG,FJ,FDX,FITB,FDX,ETR,ETR,ETR,ETN,ETN,ETFC,ESRX,ETFC,EXPD,FAST,FCX,EXC,ETR,EXPE,EXPE,EW,EW,ETFC,EW,EXC,EXPD,ETSY,EVRG
171,FJ,FL,FE,FJ,FE,ETS,EXC,EXC,ETR,ETR,ETN,ETFC,ETN,EXPE,FCX,FDO,EXPD,EW,F,F,EXC,EXC,ETN,EXC,EXPD,EXPE,EVRG,EW
172,FL,FLMIQ,FG,FLTWQ,FITB,EXC,F,F,EXC,EXC,ETR,ETN,ETR,F,FDO,FDX,EXPE,EXC,FAST,FAST,EXPD,EXPD,ETR,EXPD,EXPE,EXR,EW,EXC
173,FLMIQ,FLTWQ,FITB,FMC,FJ,F,FBF,FBF,F,F,EXC,ETR,EXC,FAST,FDX,FE,F,EXPD,FB,FB,EXPE,EXPE,EVHC,EXPE,EXR,F,EXC,EXPD
174,FLTWQ,FMC,FJ,FMCC,FLTWQ,FBF,FCX,FCX,FBF,FCX,F,EXC,EXPD,FCX,FE,FFIV,FAST,EXPE,FCX,FCX,F,EXR,EW,EXR,F,FANG,EXPD,EXPE
175,FMC,FMCC,FL,FMY,FMC,FCX,FDC,FDC,FCX,FDC,FCX,F,EXPE,FDO,FHN,FHN,FCX,F,FDO,FDO,FAST,F,EXC,F,FANG,FAST,EXPE,EXR
176,FMCC,FNMA,FLTWQ,FNMA,FMCC,FDC,FDO,FDO,FDC,FDO,FDC,FCX,F,FDX,FII,FII,FDO,FAST,FDX,FDX,FB,FAST,EXPD,FANG,FAST,FB,EXR,F
177,FNMA,FRO,FMC,FRO,FNMA,FDX,FDX,FDX,FDO,FDX,FDO,FDC,FCX,FE,FIS,FIS,FDX,FCX,FE,FE,FCX,FB,EXPE,FAST,FB,FBHS,F,FANG
178,FTL.A,FTL.A,FMCC,FTL.A,FPC,FE,FE,FE,FDX,FE,FDX,FDO,FDO,FHN,FISV,FISV,FE,FDO,FFIV,FFIV,FDX,FBHS,EXR,FB,FBHS,FCX,FANG,FAST
179,FWLT,FWLT,FNMA,FWLT,FWLT,FITB,FISV,FHN,FE,FHN,FE,FDX,FDX,FII,FITB,FITB,FFIV,FDX,FIS,FIS,FE,FCX,F,FBHS,FCX,FDX,FAST,FCX
180,G,G,FRO,G,G,FLR,FITB,FISV,FHN,FII,FHN,FE,FE,FIS,FLIR,FLIR,FHN,FE,FISV,FISV,FFIV,FDX,FAST,FCX,FDX,FE,FB,FDS
181,GAPTQ,GAPTQ,FTL.A,GAPTQ,GAPTQ,FMC,FLR,FITB,FII,FISV,FII,FHN,FHN,FISV,FLR,FLR,FII,FFIV,FITB,FITB,FIS,FE,FB,FDX,FE,FFIV,FBHS,FDX
182,GAS,GAS,FWLT,GAS,GAS,FMCC,FMCC,FLR,FISV,FITB,FISV,FII,FII,FITB,FLS,FLS,FIS,FHN,FLIR,FLIR,FISV,FFIV,FBHS,FE,FFIV,FIS,FCX,FE
183,GD,GD,G,GD,GD,FNMA,FNMA,FMCC,FITB,FLR,FITB,FIS,FIS,FLIR,FMC,FMC,FISV,FIS,FLR,FLR,FITB,FIS,FCX,FFIV,FIS,FISV,FDS,FFIV
184,GDW,GDT,GAPTQ,GDT,GDT,FRX,FRX,FNMA,FLR,FMCC,FLR,FISV,FISV,FLR,FOXA,FOXA,FITB,FISV,FLS,FLS,FLIR,FISV,FDX,FIS,FISV,FITB,FDX,FIS
185,GE,GDW,GAS,GDW,GDW,G,FTR,FRX,FMCC,FNMA,FMCC,FITB,FITB,FLS,FRX,FRX,FLIR,FITB,FMC,FMC,FLR,FITB,FE,FISV,FITB,FLIR,FE,FISV
186,GFS.A,GE,GD,GE,GE,GAS,G,FTR,FNMA,FOXA,FNMA,FLR,FLR,FOXA,FSLR,FSLR,FLR,FLIR,FOSL,FOSL,FLS,FL,FFIV,FITB,FLIR,FLS,FFIV,FITB
187,GIDL,GFS.A,GDT,GIS,GIS,GD,GAS,G,FRX,FRX,FOXA,FMCC,FMCC,FRX,FTI,FTI,FLS,FLR,FOXA,FOXA,FMC,FLIR,FIS,FL,FLS,FLT,FIS,FLT
188,GIS,GIDL,GDW,GLK,GLK,GDT,GD,GAS,FTR,FSH,FRX,FNMA,FNMA,FTR,FTR,FTR,FMC,FLS,FRX,FSLR,FOSL,FLR,FISV,FLIR,FLT,FMC,FISV,FMC
189,GLD,GIS,GE,GLW,GLW,GDW,GDT,GD,G,FSL,FSH,FOXA,FOXA,GAS,GAS,GAS,FOXA,FMC,FSLR,FTI,FOX,FLS,FITB,FLR,FMC,FOX,FITB,FOX
190,GLK,GLD,GFS.A,GP,GP,GE,GDW,GDT,GAS,FTR,FSL,FRX,FRX,GD,GD,GD,FRX,FOSL,FTI,FTR,FOXA,FMC,FL,FLS,FOX,FOXA,FLT,FOXA
191,GLW,GLK,GIS,GPC,GPC,GIS,GE,GDW,GD,G,FTR,FTR,FTR,GE,GE,GE,FSLR,FOXA,FTR,GAS,FSLR,FOX,FLIR,FLT,FOXA,FRC,FMC,FRC
192,GP,GLW,GLK,GPS,GPS,GLK,GENZ,GE,GDT,GAS,GAS,GAS,GAS,GENZ,GENZ,GENZ,FTI,FRX,GAS,GD,FTI,FOXA,FLR,FMC,FRC,FRT,FOX,FRT
193,GPC,GNT,GLW,GPU,GPU,GLW,GIS,GENZ,GDW,GD,GD,GD,GD,GHC,GHC,GHC,FTR,FSLR,GD,GE,FTR,FRT,FLS,FOX,FRT,FTI,FOXA,FSLR
194,GPS,GP,GNT,GR,GR,GP,GLK,GIS,GE,GDT,GDT,GE,GE,GILD,GILD,GILD,GAS,FTI,GE,GGP,GAS,FSLR,FMC,FOXA,FTI,FTNT,FRC,FTNT
195,GPU,GPC,GP,GRA,GRA,GPC,GLW,GLK,GENZ,GDW,GDW,GENZ,GENZ,GIS,GIS,GIS,GD,FTR,GGP,GILD,GD,FTI,FOX,FRC,FTNT,FTV,FRT,FTV
196,GR,GPS,GPC,GT,GT,GPS,GP,GLW,GIS,GE,GE,GILD,GGP,GLW,GLW,GLW,GE,GAS,GHC,GIS,GE,FTR,FOXA,FRT,FTV,GD,FTNT,GD
197,GRA,GPU,GPS,GTE,GTE,GPU,GPC,GP,GLK,GENZ,GENZ,GIS,GHC,GME,GME,GME,GHC,GD,GILD,GLW,GGP,FTV,FRT,FTI,GD,GE,FTV,GE
198,GRN,GR,GPU,GTW,GTW,GR,GPS,GPC,GLW,GILD,GILD,GLW,GILD,GNW,GNW,GNW,GILD,GE,GIS,GM,GILD,GD,FTI,FTNT,GE,GILD,GD,GEHC
199,GSX,GRA,GR,GWW,GWW,GT,GR,GPS,GP,GIS,GIS,GNW,GIS,GOOGL,GOOGL,GOOGL,GIS,GHC,GLW,GMCR,GIS,GE,FTV,FTV,GILD,GIS,GE,GEN
200,GT,GRN,GRA,H,GX,GTW,GT,GR,GPC,GLK,GLW,GOOGL,GLW,GPC,GPC,GPC,GLW,GILD,GM,GME,GLW,GGP,GD,GD,GIS,GL,GILD,GILD
201,GTE,GSX,GRN,HAL,H,GWW,GTW,GS,GPS,GLW,GNW,GPC,GME,GPS,GPS,GPS,GME,GIS,GME,GNW,GM,GILD,GE,GE,GL,GLW,GIS,GIS
202,GWF,GT,GSX,HAS,HAL,GX,GWW,GT,GR,GP,GPC,GPS,GNW,GR,GR,GR,GNW,GLW,GNW,GOOG,GMCR,GIS,GGP,GILD,GLW,GM,GL,GL
203,GWW,GTE,GT,HBAN,HAS,H,HAL,GTW,GS,GPC,GPS,GR,GOOGL,GS,GS,GS,GOOGL,GME,GOOGL,GOOGL,GME,GLW,GILD,GIS,GM,GOOG,GLW,GLW
204,H,GWF,GTE,HBOC,HBAN,HAL,HAS,GWW,GT,GPS,GR,GS,GPC,GT,GT,GT,GPC,GNW,GPC,GPC,GOOG,GM,GIS,GLW,GOOG,GOOGL,GM,GM
205,HAL,GWW,GWW,HCA,HCA,HAS,HBAN,HAL,GTW,GR,GS,GT,GPS,GWW,GWW,GWW,GPS,GOOGL,GPS,GPS,GOOGL,GOOG,GLW,GM,GOOGL,GPC,GNRC,GNRC
206,HAS,H,H,HCR,HCR,HBAN,HCA,HAS,GWW,GS,GT,GWW,GR,HAL,HAL,HAL,GR,GPC,GRMN,GRMN,GPC,GOOGL,GM,GOOG,GPC,GPN,GOOG,GOOG
207,HCA,HAL,HAL,HD,HD,HCA,HCR,HBAN,HAL,GT,GTW,H,GS,HAR,HAR,HAR,GS,GPS,GS,GS,GPS,GPC,GOOG,GOOGL,GPN,GPS,GOOGL,GOOGL
208,HD,HAS,HAS,HES,HES,HCR,HD,HCA,HAS,GTW,GWW,HAL,GT,HAS,HAS,HAS,GT,GRMN,GT,GT,GRMN,GPN,GOOGL,GPC,GPS,GRMN,GPC,GPC
209,HDLM,HCA,HBAN,HET,HET,HD,HES,HCR,HBAN,GWW,HAL,HAR,GWW,HBAN,HBAN,HBAN,GWW,GS,GWW,GWW,GS,GPS,GPC,GPN,GRMN,GS,GPN,GPN
210,HES,HD,HBOC,HI,HI,HES,HET,HD,HCA,HAL,HAS,HAS,HAL,HCBK,HCBK,HCBK,HAL,GT,HAL,HAL,GT,GRMN,GPN,GPS,GS,GWW,GPS,GRMN
211,HET,HES,HCA,HIG,HIG,HET,HI,HES,HCR,HAS,HBAN,HBAN,HAR,HCP,HCP,HCP,HAR,GWW,HAR,HAR,GWW,GS,GPS,GRMN,GWW,HAL,GRMN,GS
212,HI,HET,HD,HLT,HLT,HI,HIG,HET,HD,HBAN,HCA,HCR,HAS,HD,HD,HD,HAS,HAL,HAS,HAS,HAL,GT,GRMN,GS,HAL,HAS,GS,GWW
213,HIG,HFS,HES,HM,HM,HIG,HLT,HI,HES,HCA,HCR,HD,HBAN,HES,HES,HES,HBAN,HAR,HBAN,HBAN,HAR,GWW,GS,GT,HAS,HBAN,GWW,HAL
214,HLT,HI,HET,HNZ,HNZ,HLT,HMA,HIG,HET,HCR,HD,HES,HCBK,HIG,HIG,HIG,HCBK,HAS,HCBK,HCBK,HAS,HAL,GT,GWW,HBAN,HBI,HAL,HAS
215,HM,HIG,HI,HON,HON,HM,HNZ,HLT,HIG,HD,HES,HET,HD,HNZ,HNZ,HNZ,HCP,HBAN,HCP,HCP,HBAN,HAR,GWW,HAL,HBI,HCA,HAS,HBAN
216,HNZ,HLT,HIG,HP,HPC,HNZ,HOG,HMA,HLT,HES,HET,HIG,HES,HOG,HOG,HOG,HD,HCBK,HD,HD,HBI,HAS,HAL,HAS,HCA,HD,HBAN,HCA
217,HON,HM,HLT,HPC,HPQ,HOG,HON,HNZ,HMA,HET,HIG,HLT,HET,HON,HON,HON,HES,HCP,HES,HES,HCA,HBAN,HAS,HBAN,HD,HES,HCA,HD
218,HP,HNZ,HM,HPH,HRB,HON,HOT,HOG,HNZ,HIG,HLT,HMA,HIG,HOT,HOT,HOT,HIG,HD,HIG,HIG,HCP,HBI,HBAN,HBI,HES,HFC,HD,HES
219,HPC,HON,HNZ,HPQ,HSH,HOT,HPC,HON,HOG,HLT,HMA,HNZ,HNZ,HPQ,HPQ,HP,HNZ,HES,HOG,HOG,HD,HCA,HBI,HCA,HFC,HIG,HES,HIG
220,HPH,HP,HON,HRB,HSY,HPC,HPQ,HOT,HON,HMA,HNZ,HOG,HOG,HRB,HRB,HPQ,HOG,HIG,HON,HON,HES,HCP,HCA,HCP,HIG,HII,HIG,HII
221,HPQ,HPC,HP,HRS,HUM,HPQ,HRB,HPC,HOT,HNZ,HOG,HON,HON,HRS,HRL,HRB,HON,HNZ,HOT,HOT,HIG,HD,HCP,HD,HII,HLT,HII,HLT
222,HRB,HPH,HPC,HSH,IBM,HRB,HSH,HPQ,HPC,HOG,HON,HOT,HOT,HSH,HRS,HRL,HOT,HOG,HP,HP,HOG,HES,HD,HES,HLT,HOLX,HLT,HOLX
223,HRS,HPQ,HPH,HSY,IFF,HSH,HSY,HRB,HPQ,HON,HOT,HPC,HPC,HSP,HSH,HRS,HP,HON,HPQ,HPQ,HON,HIG,HES,HFC,HOG,HON,HOLX,HON
224,HSH,HRB,HPQ,HUM,IKN,HSY,HUM,HSH,HRB,HOT,HPC,HPQ,HPQ,HST,HSP,HSH,HPQ,HOT,HRB,HRB,HOT,HOG,HIG,HIG,HOLX,HPE,HON,HPE
225,HSY,HRS,HRB,IBM,INCLF,HUM,IBM,HSY,HSH,HPC,HPQ,HRB,HRB,HSY,HST,HSP,HRB,HP,HRL,HRL,HP,HOLX,HLT,HII,HON,HPQ,HPE,HPQ
226,HUM,HSH,HRS,IFF,INTC,IBM,IFF,HUM,HSY,HPQ,HRB,HSH,HSH,HUM,HSY,HST,HRL,HPQ,HRS,HRS,HPE,HON,HOG,HLT,HP,HRL,HPQ,HRL
227,I,HSY,HSH,IKN,IP,IFF,IGT,IBM,HUM,HRB,HSH,HSP,HSP,IBM,HUM,HSY,HRS,HRB,HSP,HSP,HPQ,HP,HOLX,HOG,HPE,HSIC,HRL,HSIC
228,IBM,HUM,HSY,INCLF,IPG,INCLF,IMNX,IFF,IBM,HSH,HSP,HSY,HST,ICE,IBM,HUM,HSH,HRL,HST,HST,HRB,HPE,HON,HOLX,HPQ,HST,HSIC,HST
229,IFF,IBM,HUM,INTC,IR,INTC,INCLF,IGT,IFF,HSP,HSY,HUM,HSY,IFF,ICE,IBM,HSP,HRS,HSY,HSY,HRL,HPQ,HP,HON,HRB,HSY,HST,HSY
230,IKN,IFF,IBM,IP,ITT,INTU,INTC,INTC,IGT,HSY,HUM,IAC,HUM,IGT,IFF,ICE,HST,HSP,HUM,HUM,HRS,HRB,HPE,HP,HRL,HUM,HSY,HUM
231,INCLF,IKN,IFF,IPG,ITW,IP,INTU,INTU,INTC,HUM,IBM,IBM,IAC,INTC,IGT,IFF,HSY,HST,IBM,IBM,HSIC,HRL,HPQ,HPE,HSIC,HWM,HUM,HWM
232,INGR,INCLF,IKN,IR,JAVA,IPG,IP,IP,INTU,IBM,IFF,IFF,IBM,INTU,INTC,IGT,HUM,HSY,ICE,ICE,HST,HRS,HRB,HPQ,HST,IBM,HWM,IBM
233,INTC,INGR,INCLF,ITT,JCI,IR,IPG,IPG,IP,IFF,IGT,IGT,ICE,IP,INTU,INTC,IBM,HUM,IFF,IFF,HSY,HSIC,HRL,HRB,HSY,ICE,IBM,ICE
234,IP,INTC,INTC,ITW,JCP,ITT,IR,IR,IPG,IGT,INTC,INTC,IFF,IPG,IP,INTU,ICE,IBM,IGT,INTC,HUM,HST,HRS,HRL,HUM,IDXX,ICE,IDXX
235,IPG,IP,IP,JAVA,JNJ,ITW,ITT,ITT,IR,INTC,INTU,INTU,IGT,IR,IPG,IP,IFF,ICE,INTC,INTU,IBM,HSY,HSIC,HRS,IBM,IEX,IDXX,IEX
236,IR,IPG,IPG,JCI,JOS,JAVA,ITW,ITW,ITT,INTU,IP,IP,INTC,ISRG,IRM,IPG,IGT,IFF,INTU,IP,ICE,HUM,HST,HSIC,ICE,IFF,IEX,IFF
237,ITT,IR,IR,JCP,JP,JCI,JAVA,JAVA,ITW,IP,IPG,IPG,INTU,ITT,ISRG,IR,INTC,IGT,IP,IPG,IFF,IBM,HSY,HST,IDXX,ILMN,IFF,ILMN
238,ITW,ITT,ITT,JNJ,JPM,JCP,JBL,JBL,JAVA,IPG,IR,IR,IP,ITW,ITT,IRM,INTU,INTC,IPG,IR,ILMN,ICE,HUM,HSY,IEX,INCY,ILMN,INCY
239,JAVA,ITW,ITW,JOS,JWN,JNJ,JCI,JCI,JBL,IR,ITT,ITT,IPG,IVZ,ITW,ISRG,IP,INTU,IR,IRM,INTC,IFF,IBM,HUM,IFF,INFO,INCY,INTC
240,JCI,JAVA,JAVA,JP,K,JNS,JCP,JCP,JCI,ITT,ITW,ITW,IR,JAVA,IVZ,ITT,IPG,IP,IRM,ISRG,INTU,ILMN,ICE,IBM,ILMN,INTC,INFO,INTU
241,JCP,JCI,JCI,JPM,KATE,JP,JHF,JHF,JCP,ITW,JAVA,JAVA,ITT,JBL,JAVA,ITW,IR,IPG,ISRG,ITW,IP,INTC,IDXX,ICE,INCY,INTU,INTC,INVH
242,JH,JCP,JCP,JWN,KBH,JPM,JNJ,JNJ,JHF,JAVA,JBL,JBL,ITW,JCI,JBL,IVZ,IRM,IR,ITW,IVZ,IPG,INTU,IFF,IDXX,INFO,IP,INTU,IP
243,JNJ,JH,JH,K,KEY,JWN,JNS,JNS,JNJ,JBL,JCI,JCI,JAVA,JCP,JCI,JBL,ISRG,IRM,IVZ,JCI,IR,IP,ILMN,IFF,INTC,IPG,IP,IPG
244,JOS,JNJ,JNJ,KATE,KLAC,K,JNY,JNY,JNS,JCI,JCP,JCP,JBL,JEC,JCP,JCI,ITW,ISRG,JBL,JEC,IRM,IPG,INCY,ILMN,INTU,IPGP,IPG,IQV
245,JP,JOS,JOS,KBH,KM,KATE,JP,JP,JNY,JCP,JNJ,JNJ,JCI,JEF,JEC,JCP,IVZ,ITW,JCI,JEF,ISRG,IR,INFO,INCY,IP,IQV,IPGP,IR
246,JPM,JP,JP,KEY,KMB,KBH,JPM,JPM,JP,JNJ,JNS,JNPR,JCP,JNJ,JEF,JEC,JBL,IVZ,JEC,JNJ,ITW,IRM,INTC,INFO,IPG,IR,IQV,IRM
247,JWN,JPM,JPM,KLAC,KMG,KEY,JWN,JWN,JPM,JNS,JNY,JNS,JEC,JNPR,JNJ,JEF,JCI,JBL,JEF,JNPR,IVZ,ISRG,INTU,INTC,IPGP,IRM,IR,ISRG
248,K,JWN,JWN,KM,KO,KG,K,K,JWN,JNY,JP,JNY,JEF,JNS,JNPR,JNJ,JCP,JCI,JNJ,JOY,JBHT,ITW,IP,INTU,IQV,ISRG,IRM,IT
249,KATE,K,K,KMB,KR,KLAC,KATE,KATE,K,JP,JPM,JPM,JNJ,JNY,JNS,JNPR,JEC,JCP,JNPR,JPM,JCI,IVZ,IPG,IP,IR,IT,ISRG,ITW
250,KBH,KATE,KATE,KMG,KRB,KM,KBH,KBH,KATE,JPM,JWN,JWN,JNPR,JPM,JPM,JNS,JEF,JEC,JOY,JWN,JEC,JBHT,IQV,IPG,IRM,ITW,IT,IVZ
251,KEY,KBH,KBH,KO,KRI,KMB,KEY,KEY,KBH,JWN,K,K,JNS,JWN,JWN,JPM,JNJ,JEF,JPM,K,JEF,JCI,IR,IPGP,ISRG,IVZ,ITW,J
252,KM,KEY,KEY,KR,KSS,KMG,KG,KG,KEY,K,KATE,KATE,JNY,K,K,JWN,JNPR,JNJ,JWN,KDP,JNJ,JEC,IRM,IQV,IT,J,IVZ,JBHT
253,KMB,KM,KLAC,KRB,KSU,KMI,KLAC,KLAC,KG,KATE,KBH,KBH,JPM,KBH,KDP,K,JOY,JNPR,K,KEY,JNPR,JEF,ISRG,IR,ITW,JBHT,J,JCI
254,KMG,KMB,KM,KRI,L,KO,KM,KMB,KLAC,KBH,KEY,KEY,JWN,KDP,KEY,KDP,JPM,JOY,KDP,KIM,JPM,JNJ,IT,IRM,IVZ,JCI,JBHT,JKHY
255,KO,KMG,KMB,KSS,LB,KR,KMB,KMG,KMB,KEY,KG,KG,K,KEY,KG,KEY,JWN,JPM,KEY,KLAC,JWN,JNPR,ITW,ISRG,J,JKHY,JCI,JNJ
256,KR,KO,KMG,KWP,LDG,KRB,KMG,KMI,KMG,KG,KLAC,KIM,KATE,KG,KIM,KIM,K,JWN,KIM,KMB,K,JPM,IVZ,IT,JBHT,JNJ,JKHY,JNPR
257,KRB,KR,KO,L,LEG,KRI,KMI,KO,KMI,KLAC,KMB,KLAC,KBH,KIM,KLAC,KLAC,KDP,K,KLAC,KMI,KDP,JWN,JBHT,ITW,JCI,JNPR,JNJ,JPM
