,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
443,UAWGQ,TXT,TXT,TUP,TX,TRW,TRW,TROW,TROW,TMO,TMK,TRV,TPR,TJX,TMK,TMUS,TROW,TROW,TRV,TSCO,TRIP,TROW,TRIP,TRIP,TROW,TSN,TRMB,TPR
444,UCC,TXU,TXU,TWX,TXN,TSG,TSG,TRV,TRV,TOY,TMO,TSG,TROW,TLAB,TMO,TPR,TRV,TRV,TSN,TSN,TROW,TRV,TROW,TROW,TRV,TT,TROW,TRGP
445,UCL,UAWGQ,UAWGQ,TX,TXT,TUP,TUP,TSG,TSG,TPR,TPR,TSN,TRV,TMK,TMUS,TROW,TSN,TSN,TSS,TSS,TRV,TSCO,TRV,TRV,TSCO,TTWO,TRV,TRMB
446,UCM,UCC,UCC,TXN,TXU,TWX,TWX,TT,TT,TRB,TRB,TT,TSN,TMO,TPR,TRV,TSS,TSS,TWC,TWC,TSCO,TSN,TSCO,TSCO,TSN,TWTR,TSCO,TROW
447,UIS,UCL,UCL,TXT,UAWGQ,TX,TXN,TUP,TUP,TROW,TROW,TWX,TSS,TPR,TROW,TSN,TWC,TWC,TWX,TWX,TSN,TSS,TSN,TSN,TTWO,TXN,TSLA,TRV
448,UK,UCM,UCM,TXU,UCL,TXN,TXT,TWX,TWX,TRV,TRV,TXN,TT,TROW,TRV,TSS,TWX,TWX,TXN,TXN,TSS,TWX,TSS,TSS,TWTR,TXT,TSN,TSCO
449,UMG,UIS,UIS,UAWGQ,UCM,TXT,TXU,TXN,TXN,TSG,TSG,TXT,TWX,TRV,TSN,TWC,TXN,TXN,TXT,TXT,TWC,TXN,TWX,TTWO,TXN,TYL,TT,TSLA
450,UN,UK,UK,UCC,UIS,TXU,UAWGQ,TXT,TXT,TT,TSN,TXU,TXN,TSN,TSS,TWX,TXT,TXT,UNH,UAA,TWX,TXT,TXN,TWTR,TXT,UA,TTWO,TSN
451,UNH,UMG,UMG,UCL,UK,UAWGQ,UCL,TXU,TXU,TWX,TT,UIS,TXT,TSS,TWC,TXN,UNH,UNH,UNM,UHS,TXN,UA,TXT,TXN,UA,UAA,TWTR,TT
452,UNM,UN,UN,UCM,UMG,UCL,UIS,UCL,UCL,TXN,TWX,UNH,UIS,TWX,TWX,TXT,UNM,UNM,UNP,UNH,TXT,UAA,UA,TXT,UAA,UAL,TXN,TTWO
